"","sci_name","presence","origin","seasonal","compiler","yrcompiled","citation","dec_lat","dec_long","spatialref","subspecies","subpop","data_sens","sens_comm","event_year","source","basisOfRecord","catalogNumber","recordedBy","recordNumber","dist_comm","tax_comm"
"1","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-20.196035,28.616761,"WGS84",NA,NA,NA,NA,2022,"https://www.inaturalist.org/observations/108806502","HUMAN_OBSERVATION","108806502","Moira FitzPatrick","Observations",NA,NA
"2","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,19.189465,73.072749,"WGS84",NA,NA,NA,NA,2022,"o-1016064689","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"3","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-19.962822,23.462337,"WGS84",NA,NA,NA,NA,2021,"https://www.inaturalist.org/observations/76907974","HUMAN_OBSERVATION","76907974","Riana Fourie","Observations",NA,NA
"4","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.230996,37.468175,"WGS84",NA,NA,NA,NA,2020,"o-1005402295","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"5","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.230996,37.468175,"WGS84",NA,NA,NA,NA,2020,"q-10129028996","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"6","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.263918,37.496359,"WGS84",NA,NA,NA,NA,2020,"o-1005423635","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"7","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.261628,37.496879,"WGS84",NA,NA,NA,NA,2020,"o-1005434985","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"8","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.261874,37.496516,"WGS84",NA,NA,NA,NA,2020,"o-1005456866","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"9","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.261874,37.496516,"WGS84",NA,NA,NA,NA,2020,"o-1005456938","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"10","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.261874,37.496516,"WGS84",NA,NA,NA,NA,2020,"o-1005468143","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"11","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.256911,37.47859,"WGS84",NA,NA,NA,NA,2020,"o-1005476341","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"12","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.266533,37.464958,"WGS84",NA,NA,NA,NA,2020,"o-1005477797","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"13","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.26086,37.4968,"WGS84",NA,NA,NA,NA,2020,"o-1005512712","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"14","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,2.307442,37.934585,"WGS84",NA,NA,NA,NA,2020,"o-1005512718","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"15","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.262049,37.496413,"WGS84",NA,NA,NA,NA,2020,"o-1005574805","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"16","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.261933,37.496676,"WGS84",NA,NA,NA,NA,2020,"o-1005574815","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"17","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-20.646662,17.100239,"WGS84",NA,NA,NA,NA,2020,"https://www.inaturalist.org/observations/41294990","HUMAN_OBSERVATION","41294990","mickyorrey","Observations",NA,NA
"18","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.180782,37.488977,"WGS84",NA,NA,NA,NA,2020,"o-1005599654","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"19","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.260283,37.497397,"WGS84",NA,NA,NA,NA,2020,"o-1005800091","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"20","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.180782,37.488977,"WGS84",NA,NA,NA,NA,2020,"q-10136082658","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"21","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.261742,37.496935,"WGS84",NA,NA,NA,NA,2020,"o-1005919096","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"22","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.256,37.501961,"WGS84",NA,NA,NA,NA,2020,"o-1007168785","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"23","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.261932,37.496672,"WGS84",NA,NA,NA,NA,2020,"o-1007706426","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"24","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.260402,37.896152,"WGS84",NA,NA,NA,NA,2020,"o-1007752073","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"25","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.256,37.501961,"WGS84",NA,NA,NA,NA,2020,"q-10190831569","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"26","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.244568,37.392564,"WGS84",NA,NA,NA,NA,2020,"o-1008670771","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"27","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.268353,37.47749,"WGS84",NA,NA,NA,NA,2018,"o-1005203736","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
"28","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.251012,37.496197,"WGS84",NA,NA,NA,NA,2018,"o-1005203660","HUMAN_OBSERVATION",NA,NA,NA,NA,NA
